14/06/2012 00:00,GLOUCESTER MEWS WEST,51.5159306,-0.182407,526216,181232,NO,Yes,NO,NO
03/10/2012 00:00,LONDON MEWS,51.5157566,-0.1746742,526753,181226,NO,NO,NO,Yes
02/12/2012 00:00,VENABLES STREET,51.5229105,-0.1732492,526832,182024,NO,NO,NO,Yes
05/05/2013 00:00,SALEM ROAD,51.5133494,-0.1889729,525768,180933,NO,NO,NO,Yes
17/03/2013 00:00,ALBEMARLE STREET,51.5086621,-0.1415104,529074,180495,NO,Yes,NO,NO
25/05/2013 00:00,CLIPSTONE MEWS,51.5212385,-0.1406667,529097,181895,NO,Yes,NO,NO
26/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
26/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
27/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
26/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
26/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
26/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
28/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
28/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
30/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
19/03/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
10/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
11/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
12/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
14/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
14/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
14/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
15/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
16/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
18/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
18/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
19/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
28/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
29/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
30/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
01/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
02/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
02/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
03/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
01/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
04/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
04/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
04/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
04/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
05/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
05/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
08/11/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
04/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
05/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
06/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
07/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
09/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
09/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
14/11/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
17/11/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
11/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
11/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
13/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
13/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
13/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
15/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
16/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
16/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
20/08/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
16/12/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
25/07/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
27/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
30/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
02/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
02/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
02/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
02/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
03/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
03/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
03/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
05/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
17/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
18/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
19/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
28/03/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
05/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
07/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
10/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
11/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
11/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/04/2013 00:00,JAMES STREET,51.5150191,-0.1506069,528425,181186,Yes,NO,NO,NO
02/08/2013 00:00,JAMES STREET,51.5150191,-0.1506069,528425,181186,Yes,NO,NO,NO
27/08/2013 00:00,SOUTH MOLTON LANE,51.5136881,-0.1488435,528551,181041,NO,Yes,NO,NO
29/08/2013 00:00,SOUTH MOLTON LANE,51.5136881,-0.1488435,528551,181041,NO,Yes,NO,NO
11/12/2012 00:00,GLASSHOUSE STREET,51.5103865,-0.1382435,529296,180692,Yes,NO,NO,NO
14/05/2013 00:00,HANOVER PLACE,51.5131968,-0.1230222,530344,181032,NO,NO,NO,Yes
20/08/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
13/11/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,NO,Yes,NO,NO
18/11/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
22/10/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
18/04/2013 00:00,MARYLEBONE HIGH STREET,51.5198494,-0.1517791,528330,181721,NO,NO,Yes,NO
21/05/2012 00:00,HINDE STREET,51.5169422,-0.1512996,528372,181398,Yes,NO,NO,NO
28/08/2013 00:00,HEAD'S MEWS,51.5152696,-0.1972641,525187,181133,NO,Yes,NO,NO
31/08/2012 00:00,NORTHUMBERLAND PLACE,51.5173102,-0.1966358,525225,181361,NO,Yes,NO,NO
19/09/2013 00:00,STABLE YARD,51.503913,-0.1397441,529210,179970,Yes,NO,NO,Yes
19/09/2012 00:00,CRAWFORD PLACE,51.5176551,-0.1666707,527303,181451,NO,Yes,NO,NO
